word,frequency_rank,wcount,log_w,w_cd
这边,687,4651,3.6675,2442
重新,688,4637,3.6662,2703
瞧,689,4634,3.666,1993
疯狂,690,4632,3.6658,2525
收到,691,4605,3.6632,2229
其中,692,4603,3.663,2702
片,693,4597,3.6625,2420
想法,694,4574,3.6603,2586
纽约,695,4566,3.6595,1494
家里,696,4563,3.6593,2643
黑,697,4563,3.6593,2018
身,698,4526,3.6557,2627
还要,699,4524,3.6555,2847
作,700,4501,3.6533,2431
后面,701,4500,3.6532,2626
性,702,4493,3.6525,2136
带来,703,4492,3.6524,2657
昨天,704,4483,3.6516,2527
不好,705,4482,3.6515,2663
抓住,706,4481,3.6514,2240
记录,707,4480,3.6513,2082
点儿,708,4472,3.6505,1346
老兄,709,4467,3.65,1520
来自,710,4462,3.6495,2316
越,711,4457,3.649,1800
大学,712,4455,3.6488,1834
照顾,713,4451,3.6485,2354
太太,714,4432,3.6466,1494
聪明,715,4415,3.6449,2503
本来,716,4415,3.6449,2723
加油,717,4411,3.6445,1344
实际上,718,4410,3.6444,2344
甜,719,4400,3.6435,1890
怕,720,4395,3.643,2362
多久,721,4392,3.6427,2650
并且,722,4389,3.6424,2116
直接,723,4383,3.6418,2707
对于,724,4373,3.6408,2395
记,725,4372,3.6407,2513
突然,726,4366,3.6401,2651
啥,727,4366,3.6401,1529
开枪,728,4365,3.64,1610
声,729,4315,3.635,2495
除非,730,4299,3.6334,2716
集,731,4294,3.6329,3476
店,732,4293,3.6328,1852
酷,733,4289,3.6324,1974
正常,734,4281,3.6315,2326
死亡,735,4274,3.6308,1967
终于,736,4273,3.6307,2628
拥有,737,4267,3.6301,2391
警,738,4243,3.6277,1188
船,739,4243,3.6277,1133
付,740,4235,3.6269,2161
派对,741,4231,3.6264,1325
遍,742,4218,3.6251,2546
步,743,4208,3.6241,2342
不再,744,4205,3.6238,2571
鬼,745,4202,3.6235,1952
咖啡,746,4195,3.6227,1928
傻,747,4192,3.6224,2233
阻止,748,4179,3.6211,2176
想象,749,4177,3.6209,2549
冷静,750,4176,3.6208,2143
方法,751,4174,3.6206,2435
犯,752,4145,3.6175,2460
扔,753,4145,3.6175,2246
祝,754,4136,3.6166,2386
能力,755,4136,3.6166,1924
完美,756,4134,3.6164,2249
克,757,4128,3.6157,1230
口,758,4127,3.6156,2431
目标,759,4123,3.6152,1836
耶,760,4120,3.6149,1410
日,761,4114,3.6143,1859
有关,762,4102,3.613,2399
精神,763,4099,3.6127,2250
另外,764,4098,3.6126,2477
放松,765,4092,3.6119,2194
丢,766,4088,3.6115,2340
休息,767,4075,3.6101,2273
每天,768,4072,3.6098,2514
回答,769,4070,3.6096,2298
凶手,770,4064,3.609,1121
负责,771,4060,3.6085,2252
命,772,4060,3.6085,2302
外,773,4058,3.6083,2363
碰,774,4055,3.608,2245
介意,775,4053,3.6078,2426
梦,776,4053,3.6078,1604
试试,777,4052,3.6077,2569
那天,778,4033,3.6056,2247
系统,779,3999,3.602,1575
睡觉,780,3999,3.602,2233
滚,781,3992,3.6012,1940
谋杀,782,3989,3.6009,1543
礼物,783,3988,3.6008,1836
那种,784,3987,3.6006,2464
戴,785,3987,3.6006,2135
各位,786,3982,3.6001,1753
错误,787,3979,3.5998,2284
子,788,3972,3.599,2009
随便,789,3971,3.5989,2521
头发,790,3955,3.5971,1995
藏,791,3933,3.5947,2170
